id,question,options,answer,notes,Tags,questionPre
220201001,下列选项中，不属于我国法的渊源的是{{c1::}}。,国际条约<br>||最高人民法院所作的判决<br>||部门规章<br>||地方性法规<br>,2,参考解析： 最高人民法院所作的“判决书”或发布的“指导案例”等，没有法律效力，不产生法的强制力，不属于我国法的渊源。<br>,总论,
220201002,下列规范性文件中，属于行政法规的是{{c1::}}。,国务院发布的《企业财务会计报告条例》<br>||全国人民代表大会通过的《中华人民共和国民事诉讼法》<br>||中国人民银行发布的《支付结算办法》<br>||全国人民代表大会常务委员会通过的《中华人民共和国会计法》<br>,1,参考解析：选项B、D，属于法律；选项C，属于部门规章。<br>,总论,
220201003,根据法的空间效力、时间效力或对人的效力划分，可以分为{{c1::}}。,普通法与特别法<br>||一般法与特别法<br>||根本法与普通法<br>||公法与私法<br>,2,参考解析： 选项C，根据法的内容、效力和制定程序，划分为根本法与普通法；选项D，根据法律运用的目的，划分为公法与私法。<br>,总论,
220201004,下列法的效力中，其域内效力仅在我国局部地区有效的是{{c1::}}。,全国人民代表大会制定的法律<br>||国务院制定的部门规章<br>||民族自治地方制定的自治条例与单行条例<br>||宪法<br>,3,参考解析： 按照法的空间效力划分，可分为在全国范围内有效和在局部地区有效。其中，地方性法规、地方政府规章、民族自治地方制定的自治条例与单行条例，在其管辖范围内有效。<br>,总论,
220201005,张某睡懒觉醒来后肚子饿了，于是用手机某APP点外卖吃晚饭。下列选项中，构成法律事实的是{{c1::}}。,张某睡醒睁开眼<br>||张某肚子饿了<br>||张某通过APP点单<br>||外卖送来，张某开心的吃饭<br>,3,参考解析：法律事实是由法律规范所确定，能够“直接引起”某种类型法律关系发生、变更和消灭的法律后果。选项ABD是生活事实，并不具备法律上的效果，因此不是法律事实；选项C，属于法律事实中的法律行为，具有法律效果，可直接形成：①张某与饭店的餐饮服务法律关系；②张某、饭店与外卖平台的运输服务法律关系。<br>,总论,
220201006,下列各项中，属于法律事实中的法律行为的是{{c1::}}。,水星逆行<br>||一段时间的经过<br>||自然人订立自书遗嘱<br>||十月怀胎，一朝分娩<br>,3,参考解析：法律行为是指以法律关系主体意志为转移，能够引起法律后果的活动。选项BD，属于法律事件；选项A，通常不影响法律关系，属非法律事实。<br>,总论,
220201007,法律关系客体的内容和范围由法律规定，下列选项中，属于我国法律关系客体的是{{c1::}}。,自然人<br>||人的人身和人格<br>||美女头上秀美的长发<br>||空气<br>,2,"参考解析： 选项A,人的整个身体只能成为主体，不是法律关系的客体；选项B,人身、人格是生命权、身体权、健康权、肖像权、名誉权、隐私权等人身权指向的客体；选项C，人的头发、血液、骨髓、精子和其他器官，构成人的整体时，不属于客体，但依法从身体中分离出去，成为独立的外部之物时，可以依法成为客体；选项D，空气不具备稀缺性，通常不属于法律关系客体中的“物”。<br>",总论,
220201008,关于法律关系客体中的人格、人身，下列选项中，说法正确的是{{c1::}}。,禁止侵犯他人的名誉权，其法律义务指向的客体是物<br>||人格、人身是人身权指向的客体<br>||人的整体既可以成为法律关系的主体，又可以成为法律关系的客体<br>||人的血液从身体分离出去后，即不可能再成为法律关系的客体<br>,2,参考解析：人格、人身是禁止侵犯他人名誉权等法律义务所指向的客体，选项A的说法错误；人的整体只能是法律关系的主体，不能作为法律关系的客体，因此选项C的说法错误；人的部分是可以作为客体的“物”，如当人的头发、血液、骨髓、精子和其他器官从身体中分离出去，成为与身体相分的外部之物时，在某些情况下也可视为法律上的“物”，因此选项D的说法错误。<br>,总论,
220201009,下列各项中，不属于法律关系主体的是{{c1::}}。,甲市商务主管部门<br>||乙市红十字会<br>||丙市A区居民委员会<br>||会跑酷与跳舞的智能机器人Atlas<br>,4,参考解析： 法律关系主体的种类包括自然人、法人组织、非法人组织和国家。选项D属于法律关系客体中“物”的范畴，并非主体。<br>,总论,
220201010,下列关于法人的法定代表人的说法中，正确的是{{c1::}}。,法定代表人因执行职务造成他人损害的，由法人承担民事责任<br>||法定代表人以法人名义从事的民事活动，其法律后果由自身承受<br>||法定代表人是一种组织，包括营利性与非营利性<br>||法人章程或者法人权力机构不得对法定代表人代表权进行限制<br>,1,参考解析：选项B错误，法定代表人以法人名义从事的民事活动，其法律后果由“法人”承受；选项C错误，依照法律或者法人章程的规定，代表法人从事民事活动的负责人，为法人的法定代表人。注意，法定代表人一定是自然人；选项D错误，法人章程或者法人权力机构可以对法定代表人代表权进行限制，只是不得对抗善意相对人。<br>,总论,
