id,question,options,answer,notes,Tags,questionPre
220210001,甲公司和乙公司签订买卖合同，向乙公司购买3辆载货汽车，总价款为160万元，该买卖合同法律关系的主体是{{c1::}}。,买卖合同<br>||甲公司和乙公司<br>||160万元价款<br>||3辆载货汽车<br>,2,参考解析：本题考核法律关系的主体范围。选项A属于引起法律关系产生的法律行为；选项C与选项D属于合同法律关系的标的物和对价。<br>,模拟试卷一,
220210002,赵某，15周岁，系甲省体操队专业运动员，月收入3 000元，完全能够满足自己生活所需，下列关于赵某民事行为能力的表述中，正确的是{{c1::}}。,赵某视为完全民事行为能力人<br>||赵某属于完全民事行为能力人<br>||赵某属于限制民事行为能力人<br>||赵某属于无民事行为能力人<br>,3,参考解析：本题考核自然人民事行为能力的辨别。根据规定，16周岁以上（≥16周岁）的未成年人（＜18周岁），以自己的劳动收入为主要生活来源的，视为完全民事行为能力人；8周岁以上（≥8周岁）的未成年人属于限制民事行为能力人。赵某15周岁，属于限制民事行为能力人。<br>,模拟试卷一,
220210003,下列关于权利能力和行为能力的表述中，不正确的是{{c1::}}。,自然人的行为能力和权利能力同时产生、同时消灭<br>||法人的行为能力和权利能力同时产生、同时消灭<br>||自然人的民事权利能力一律平等<br>||自然人从出生时起至死亡时止，具有民事权利能力<br>,1,参考解析：本题考核权利能力和行为能力。自然人的行为能力不同于其权利能力，具有行为能力必须首先具有权利能力，但具有权利能力并不必然具有行为能力。<br>,模拟试卷一,
220210004,甲公司出纳刘某在为员工孙某办理业务时，发现采购发票上所注单价、数量与总金额不符，经查是销货单位填写单价错误，刘某采取的下列措施中，符合会计法律制度规定的是{{c1::}}。,由孙某写出说明，并加盖公司公章后入账<br>||将发票退给孙某，由销货单位重新开具发票后入账<br>||按总金额入账<br>||将单价更正后入账<br>,2,参考解析：本题考核原始凭证填制的基本要求。原始凭证金额有错误的，应当由出具单位重开，不得在原始凭证上更正。<br>,模拟试卷一,
220210005,下列选项中，不属于原始凭证必须具备内容的是{{c1::}}。,填制凭证的日期<br>||经办人员的签名或者盖章<br>||凭证的名称<br>||单位领导人的签名或者盖章<br>,4,参考解析：本题考核原始凭证必须具备的内容。具体包括：①凭证的名称；②填制凭证的日期；③填制凭证单位名称或者填制人姓名；④经办人员的签名或者盖章；⑤接受凭证单位名称；⑥经济业务内容；⑦数量、单价和金额。<br>,模拟试卷一,
220210006,申请设立除会计师事务所以外的代理记账机构，应当经所在地的县级以上人民政府财政部门批准，并领取由{{c1::}}统一规定样式的代理记账许可证书。,国务院<br>||财政部<br>||省、自治区、直辖市人民政府<br>||省、自治区、直辖市人民政府财政部门<br>,2,参考解析：本题考核代理记账。我国对代理记账资格实行审批制，申请设立除会计师事务所以外的代理记账机构，应当经所在地的县级以上人民政府财政部门批准，并领取由财政部统一规定样式的代理记账许可证书。<br>,模拟试卷一,
220210007,根据支付结算法律制度的规定，存款人更改名称，但不更改开户银行及账号的，应于一定期限向其开户银行提出银行结算账户更换申请，该期限为{{c1::}}。,3个自然日内<br>||3个工作日内<br>||5个工作日内<br>||5个自然日内<br>,3,参考解析：本题考核银行结算账户的变更程序。根据规定，存款人更改名称，但不改变开户银行及账号的，应于“5个工作日”内向开户银行提出银行结算账户的变更申请，并出具有关部门的证明文件。<br>,模拟试卷一,
220210008,银行、支付机构发现特约商户发生疑似套现、洗钱、恐怖融资、欺诈、留存或泄露账户信息等风险事件的，可以对特约商户采取的措施不包括{{c1::}}。,联系客户核实交易<br>||延迟资金结算<br>||暂停交易<br>||冻结账户<br>,1,参考解析：本题考核银行卡收单业务管理规定。银行、支付机构发现特约商户发生疑似套现、洗钱、恐怖融资、欺诈、留存或泄露账户信息等风险事件的，应对特约商户采取延迟资金结算、暂停交易、冻结账户等措施，并承担因未采取措施导致的风险损失责任；发现涉嫌违法犯罪活动的，应及时向公安机关报案。<br>,模拟试卷一,
220210009,甲公司与王某口头约定，王某每天来甲公司工作3小时，每小时30元费用，试用期一周，每周结算一次工资，以下约定不符合法律规定的是{{c1::}}。,试用期一周<br>||王某每天去甲公司工作3小时<br>||每周结算一次工资<br>||以小时为单位计算工资<br>,1,参考解析：本题考核非全日制用工的相关规定。非全日制用工双方当事人可以订立口头协议。非全日制用工，是指以小时计酬为主，劳动者在同一用人单位一般平均每日工作时间不超过4小时，每周工作时间累计不超过24小时的用工形式。非全日制用工双方当事人不得约定试用期。<br>,模拟试卷一,
220210010,根据社会保险法律制度的规定，职工发生伤亡的下列情形中，视同工伤的是{{c1::}}。,在工作时间和工作岗位突发先天性心脏病死亡的<br>||在上班途中受到非本人主要责任的交通事故伤害的<br>||下班后在工作场所从事与工作有关的收尾性工作受到事故伤害的<br>||患职业病的<br>,1,参考解析：本题考核工伤认定中视同工伤的情形。职工有下列情形之一的，视同工伤：①在工作时间和工作岗位，突发疾病死亡或者在48小时之内经抢救无效死亡的；②在抢险救灾等维护国家利益、公共利益活动中受到伤害的；③职工原在军队服役，因战、因公负伤致残，已取得革命伤残军人证，到用人单位后旧伤复发的。选项B、C、D为应当认定为工伤的情形。<br>,模拟试卷一,
220210011,王某在甲公司工作2年8个月，甲公司提出并与王某协商解除了劳动合同。已知王某在合同解除前12个月的平均工资为13 000元，当地上年度职工月平均工资为4 000元，当地月最低工资标准为2 000元。劳动合同解除时，甲公司依法应向王某支付的经济补偿数额为{{c1::}}。,36 000元<br>||6 000元<br>||12 000元<br>||39 000元<br>,1,参考解析：本题考核经济补偿金的计算。劳动者月工资高于用人单位所在地上年度职工月平均工资3倍的，向其支付经济补偿的标准按职工月平均工资3倍的数额支付，向其支付经济补偿的年限最高不超过12年。工作年限6个月以上不满1年的，补偿年限按1年计算，因此按照3年计算补偿年限。经济补偿＝4 000×3×3＝36 000（元）。<br>,模拟试卷一,
220210012,"A公司采取预收货款方式向B公司销售货物，双方于2020年3月18日签订了一份买卖合同，合同约定B公司于4月28日向A公司预付货款。但A公司在4月10日就收到B公司的预付货款；A公司于5月30日发出货物。按我国增值税法律制度的规定,A公司增值税纳税义务发生时间应当为{{c1::}}。",3月18日<br>||4月10日<br>||4月28日<br>||5月30日<br>,4,参考解析：本题考核增值税纳税义务发生时间。采取预收货款方式销售货物，增值税纳税义务发生时间为货物发出的当天。<br>,模拟试卷一,
220210013,根据消费税法律制度的规定，下列货物销售中应征收消费税的是{{c1::}}。,汽车销售公司代销小汽车<br>||烟酒商店零售烟酒<br>||首饰加工厂批发金银首饰<br>||手表厂生产销售高档手表<br>,4,参考解析：本题考核消费税纳税人、纳税环节和税目。一般的应税消费品在生产环节征收消费税，在流通环节不再征收消费税，但金银首饰在零售环节征收消费税。<br>,模拟试卷一,
220210014,根据增值税法律制度的规定，下列各项中，应按照“生活服务”税目计缴增值税的是{{c1::}}。,文化创意服务<br>||车辆停放服务<br>||广播影视服务<br>||旅游娱乐服务<br>,4,参考解析：本题考核增值税征税范围—生活服务。①选项A，按照“现代服务—文化创意服务”税目计缴增值税；②选项B，按照“现代服务—租赁服务”税目计缴增值税；③选项C，按照“现代服务—广播影视服务”税目计缴增值税。<br>,模拟试卷一,
220210015,某企业向摩托车制造厂（增值税一般纳税人）订购气缸容量250毫升以上的摩托车10辆，支付货款（含税）共计250 800元，同时支付设计费30 000元。摩托车制造厂计缴消费税的销售额是{{c1::}}。,214 359元<br>||248 495.58元<br>||250 800元<br>||280 800元<br>,2,参考解析：本题考核计征消费税的销售额的确定。计征消费税的销售额是销售应税消费品向购买方收取的全部价款和价外费用，但不包括取得的增值税。价外费用视为含税收入，需要换算为不含税收入。因此，计缴消费税的销售额＝（250 800＋30 000）÷（1＋13％）＝248 495.58（元）。<br>,模拟试卷一,
220210016,某居民企业当年计入成本、费用的实发工资总额为300万元，拨缴职工工会经费5万元，支出职工福利费40万元、职工教育经费15万元，该企业当年计算应纳税所得额时准予在税前扣除的工资和三项经费合计的下列计算中，正确的是{{c1::}}。,300＋300×14％＋300×2％＋300×8％＝372（万元）<br>||300＋40＋300×2％＋15＝361（万元）<br>||300＋40＋5＋15＝360（万元）<br>||300＋300×14％＋5＋15＝362（万元）<br>,3,参考解析：本题考核企业所得税税前扣除项目及标准。①企业发生的合理的工资、薪金支出准予据实扣除；②职工福利费：扣除限额＝300×14％＝42（万元）＞实际发生40万元，准予扣除40万元；③工会经费：扣除限额＝300×2％＝6（万元）＞实际发生5万元，可以据实扣除5万元；④职工教育经费：扣除限额＝300×8％＝24（万元）＞实际发生15万元，可以据实扣除15万元；⑤税前准予扣除的工资和三项经费合计＝300＋40＋5＋15＝360（万元）。<br>,模拟试卷一,
220210017,某保险代理人郑某2021年3月与北京某家保险公司签约，提供兼职代理业务，其5月份取得佣金收入5万元，支付附加税费2 500元。下列关于郑某取得佣金收入缴纳个人所得税的说法中，正确的是{{c1::}}。,郑某的佣金收入属于“工资、薪金所得”项目<br>||郑某取得的佣金收入5万元，应以不含增值税的收入减除40％的费用后的余额为收入额<br>||郑某支付的附加税费，可以在计算个人所得税时扣除<br>||郑某在税前扣除的展业成本，为佣金收入5万元的25％<br>,3,参考解析：本题考核保险代理人佣金收入个人所得税的缴纳。选项A表述错误，根据规定，从证券公司、保险公司取得的佣金收入，属于“劳务报酬所得”项目缴纳个人所得税；选项B表述错误，佣金收入应以不含增值税的收入减除“20％”的费用后的余额为“收入额”；选项C的表述正确，佣金收入依法计算的收入额减去展业成本以及附加税费后，并入当年综合所得，计算缴纳个人所得税；选项D表述错误，保险营销员、证券经纪人展业成本按照“收入额”的25％计算，并入综合所得的金额＝不含税收入×（1－20％）×（1－25％）－附加税费。<br>,模拟试卷一,
