id,question,options,answer,notes,Tags,questionPre
220101001,下列各项中，不属于会计监督的内容是{{c1::}}。,财务收支的合理性审查<br>||不定期进行的财产清查<br>||会计核算的完整性审查<br>||经济业务的真实性审查<br>,2,参考解析：会计监督是对真实性、完整性、合法性和合理性进行审查。<br>,概述,
220101002,下列有关会计主体的表述中，不正确的是{{c1::}}。,会计主体是指会计所核算和监督的特定单位和组织<br>||会计主体界定了从事会计工作和提供会计信息的时间范围<br>||由若干具有法人资格的企业组成的企业集团也是会计主体<br>||会计主体界定了从事会计工作和提供会计信息的空间范围<br>,2,参考解析：会计主体界定了从事会计工作和提供会计信息的空间范围。<br>,概述,
220101003,下列各项中，体现谨慎性要求的是{{c1::}}。,对固定资产采用年限平均法计提折旧<br>||低估负债<br>||高估资产<br>||确认预计负债<br>,4,参考解析：谨慎性要求企业对交易或者事项进行会计确认、计量、记录和报告应当保持应有的谨慎，不应高估资产或者收益、低估负债或者费用。<br>,概述,
220101004,下列关于会计职能的表述不正确的是{{c1::}}。,核算是最基本的职能<br>||核算和监督都是基本职能<br>||没有核算提供的信息，监督就失去了依据<br>||监督属于会计的拓展职能<br>,4,参考解析：核算和监督是会计的基本职能。<br>,概述,
220101005,企业对已发生减值的固定资产计提减值准备，体现了{{c1::}}要求。,实质重于形式<br>||重要性<br>||谨慎性<br>||可比性<br>,3,参考解析：计提资产减值准备体现了谨慎性要求，但为调节利润计提减值准备属于滥用会计政策，不符合谨慎性要求。<br>,概述,
220101006,企业将租入的资产（短期租赁和低值资产租赁除外）视为企业的资产，在企业的资产负债表中予以确认，体现的是{{c1::}}要求。,谨慎性<br>||实质重于形式<br>||可比性<br>||重要性<br>,2,参考解析：<br>,概述,
220101007,下列对重要性的表述不正确的是{{c1::}}。,对于重要的会计事项，必须按照规定的会计方法和程序进行处理，并在财务报告中予以充分、准确地披露<br>||对于次要的会计事项，在不影响会计信息真实性和不至于误导财务报告使用者作出正确判断的前提下，可适当简化处理<br>||要求企业提供的会计信息应当反映与企业财务状况、经营成果和现金流量有关的所有重要交易或者事项<br>||在评价某些项目的重要性时，不应依赖于会计人员的职业判断<br>,4,参考解析：在评价某些项目的重要性时，应依赖于会计人员的职业判断。<br>,概述,
220101008,下列关于权责发生制的表述中，不正确的是{{c1::}}。,权责发生制是以收入和费用是否归属本期为标准来确认本期收入和费用的一种方法<br>||权责发生制要求，凡是不属于当期的收入和费用，即使款项已在当期收付，也不作为当期的收入和费用<br>||权责发生制要求，凡是当期已经实现的收入和已经发生或应当负担的费用，无论款项是否收付，都应当作当期的收入和费用<br>||权责发生制要求，应以实际收到或支付现金作为确认收入和费用的标准<br>,4,参考解析：选项D，属于收付实现制的要求。<br>,概述,
220101009,下列各项中，属于遵守客观公正会计职业道德的是{{c1::}}。,遵纪守法，一身正气<br>||坚持职业标准，严格自我约束<br>||忠于职守、尽心尽力、尽职尽责<br>||实事求是，不偏不倚<br>,4,参考解析：选项AB，属于遵守廉洁自律会计职业道德；选项C，属于遵守爱岗敬业会计职业道德。<br>,概述,
220101010,内部环境作为内部控制要素之首，是实施内部控制的{{c1::}}。,基础<br>||重要环节<br>||重要条件<br>||重要保证<br>,1,参考解析：<br>,概述,
220101011,财务报告使用者主要包括{{c1::}}。,投资者<br>||债权人<br>||政府及其有关部门<br>||社会公众<br>,1||2||3||4,参考解析：<br>,概述,
220101012,下列各项中，属于会计监督合理性审查内容的有{{c1::}}。,检查各项财务收支是否符合特定对象的财务收支计划<br>||检查各项财务收支是否符合内部控制制度要求<br>||检查各项财务收支是否执行了国家的各项方针政策<br>||检查各项财务收支是否有利于预算目标的实现<br>,1||2||4,参考解析：选项C，是否执行了国家的各项方针政策属于合法性审查。<br>,概述,
220101013,会计基础是指会计确认、计量、记录和报告的基础，包括{{c1::}}。,历史成本<br>||权责发生制<br>||重置成本<br>||收付实现制<br>,2||4,参考解析：选项AC，属于会计计量属性。<br>,概述,
220101014,下列各项中，属于企业会计信息质量要求的有{{c1::}}。,收付实现制<br>||可靠性<br>||及时性<br>||历史成本<br>,2||3,参考解析：会计信息质量要求是对企业财务报告中所提供会计信息质量的基本要求，是使财务报告中所提供会计信息对投资者等使用者决策有用应具备的基本特征，它主要包括可靠性、相关性、可理解性、可比性、实质重于形式、重要性、谨慎性和及时性等。选项A，属于会计基础；选项D，属于会计计量属性。<br>,概述,
220101015,下列关于企业会计信息质量要求中实质重于形式的表述，正确的有{{c1::}}。,应以实际发生的交易或事项为依据进行会计确认、计量、记录和报告<br>||应按照交易或事项的经济实质进行会计确认、计量、记录和报告<br>||不应仅以交易或者事项的法律形式为依据<br>||应仅以交易或者事项的法律形式为依据<br>,2||3,参考解析：选项A，属于可靠性的要求；选项D，实质重于形式要求企业应当按照交易或事项的经济实质进行会计确认、计量、记录和报告，不应仅以交易或者事项的法律形式为依据。<br>,概述,
220101016,下列各项中，体现了可理解性要求的有{{c1::}}。,企业提供的会计信息应当清晰明了<br>||企业提供的会计信息应当相互可比<br>||便于财务会计报告使用者理解和使用<br>||有助于信息的使用者进行经济决策<br>,1||3||4,参考解析：可理解性要求企业提供的会计信息应当清晰明了、简明扼要，数据记录和文字说明能一目了然地反映出经济活动的来龙去脉，便于财务会计报告使用者理解和使用。选项B，属于可比性要求。<br>,概述,
220101017,下列各项中，体现了可靠性要求的有{{c1::}}。,各类企业执行的会计政策应当统一，便于比较<br>||以实际发生的交易或者事项为依据进行确认、计量<br>||如实反映符合确认和计量要求的会计要素<br>||在财务报告中的会计信息应当是真实、完整的<br>,2||3||4,参考解析：选项A，体现可比性要求。<br>,概述,
220101018,下列各项中，关于及时性的表述正确的有{{c1::}}。,要求企业对于已发生的交易或事项应当及时进行确认、计量、记录和报告，可以提前<br>||要求企业及时处理会计信息<br>||要求企业及时收集会计信息<br>||要求企业及时地将编制的财务报告传递给财务报告使用者<br>,2||3||4,参考解析：选项A，及时性要求企业对于已发生的交易或者事项，应当及时进行确认、计量、记录和报告，不得提前或延后。<br>,概述,
220101019,根据权责发生制，企业发生下列业务后，不应计入本期费用的有{{c1::}}。,预付下季度报刊费6000元<br>||摊销本月负担的杂志费2000元<br>||本月发生房屋租金1000元，尚未支付<br>||支付上月水电费3200元<br>,1||4,参考解析：选项A，预付下季度的报刊费应在下季度各个月份分别确认费用；选项D，应在上月确认费用。<br>,概述,
220101020,下列各项关于会计职业道德的表述正确的有{{c1::}}。,具有很强的他律性<br>||侧重于调整会计人员外在行为的合法化<br>||其表现形式既有成文的规范，也有不成文的规范<br>||以行业行政管理规范和道德评价为标准<br>,3||4,参考解析：选项A，会计职业道德具有很强的自律性；选项B，会计职业道德不仅调整会计人员的外在行为，还调整会计人员内在的精神世界。<br>,概述,
220101021,下列属于会计职业道德的有{{c1::}}。,诚实守信<br>||提高技能<br>||参与管理<br>||强化服务<br>,1||2||3||4,参考解析：会计职业道德包括爱岗敬业、诚实守信、廉洁自律、客观公正、坚持准则、提高技能、参与管理、强化服务。<br>,概述,
220101022,下列各项中，属于联合惩戒措施的有{{c1::}}。,记入会计从业人员信用档案<br>||依法限制其担任国有企业法定代表人<br>||依法限制参与评先、评优或取得荣誉称号<br>||实行行业惩戒<br>,1||2||3||4,参考解析：<br>,概述,
220101023,相比收付实现制，权责发生制更有利于计算和考核经营成果。{{c1::}},对<br>||错<br>,1,参考解析：采用权责发生制核算制度，能够更加准确地反映特定期间真实的财务状况及经营成果。<br>,概述,
220101024,会计基本假设是企业会计确认、计量、记录和报告的前提，是对会计核算所处时间、空间环境等所作的合理假定。{{c1::}},对<br>||错<br>,1,参考解析：<br>,概述,
220101025,合理确定内部控制要素有利于具体实施内部控制制度。{{c1::}},对<br>||错<br>,1,参考解析：<br>,概述,
