id,question,options,answer,notes,Tags,questionPre
220109001,根据资料（1），下列各项中，甲公司会计处理正确的是{{c1::}}。,退回银行汇票的多余款项时：<br>借：银行存款20730<br>贷：其他货币资金20730<br>||用银行汇票购买材料时：<br>借：原材料200000<br>应交税费——应交增值税（进项税额）26000<br>贷：银行存款226000<br>||申请签发银行汇票时：<br>借：其他货币资金250000<br>贷：银行存款250000<br>||用银行汇票购买材料时：<br>借：原材料203000<br>应交税费——应交增值税（进项税额）26270<br>贷：其他货币资金229270<br>,1||3||4,参考解析：申请签发银行汇票时：<br>借：其他货币资金250000<br>贷：银行存款250000<br>2日购入M材料时：<br>借：原材料203000<br>应交税费——应交增值税（进项税额）26270<br>贷：其他货币资金229270<br>退回银行汇票的多余款项时：<br>借：银行存款20730<br>贷：其他货币资金20730<br>,不定项选择题突破特训,甲有限责任公司（以下简称甲公司）是生产多种产品的制造企业，为增值税一般纳税人，适用的增值税税率为13%，原材料采用实际成本法核算，发出材料成本采用月末一次加权平均法计算。2020年1月1日，M材料库存数量为500千克，每千克实际成本为200元。该公司1月份发生有关存货业务如下：<br>（1）2日，以面值为250000元的银行汇票购买M材料800千克，每千克不含税的销售价格为250元，价款共计200000元，增值税专用发票上注明的增值税税额为26000元。由销货方代垫运费并取得增值税专用发票，发票上注明的价款为3000元，增值税税额为270元。材料验收入库，银行汇票多余款项通过银行退回并已收妥。<br>（2）10日，收到乙公司作为资本投入的M材料3000千克，并验收入库，同时收到乙公司开具的增值税专用发票。投资合同约定该批材料不含税价格为600000元，与公允价值相同，允许抵扣的增值税进项税额为78000元，乙公司在甲公司注册资本中享有的份额为580000元。<br>（3）31日，发料凭证汇总表中列明M材料的耗用情况如下：生产产品领用1600千克，车间管理部门领用300千克，行政管理部门领用200千克，销售部门领用100千克。<br>（4）31日，财产清查中盘亏M材料的成本为15000元，相应转出增值税进项税额1950元，经查属于材料保管人员过失造成的，按规定由其赔偿6000元，其他损失由公司承担，款项尚未收到。<br>要求：根据上述资料，不考虑其他因素，分析回答下列小题。（答案中的金额单位用元表示，计算结果出现小数的，保留小数点后两位小数）<br>
220109002,根据资料（2），下列各项中，甲公司会计处理结果正确的是{{c1::}}。,“资本公积”科目贷方登记98000元<br>||“原材料”科目借方登记600000元<br>||“应交税费”科目借方登记78000元<br>||“实收资本”科目贷方登记678000元<br>,1||2||3,参考解析：10日收到投入M材料时：<br>借：原材料600000<br>应交税费——应交增值税（进项税额）78000<br>贷：实收资本580000<br>资本公积——资本溢价［借贷差］98000<br>,不定项选择题突破特训,甲有限责任公司（以下简称甲公司）是生产多种产品的制造企业，为增值税一般纳税人，适用的增值税税率为13%，原材料采用实际成本法核算，发出材料成本采用月末一次加权平均法计算。2020年1月1日，M材料库存数量为500千克，每千克实际成本为200元。该公司1月份发生有关存货业务如下：<br>（1）2日，以面值为250000元的银行汇票购买M材料800千克，每千克不含税的销售价格为250元，价款共计200000元，增值税专用发票上注明的增值税税额为26000元。由销货方代垫运费并取得增值税专用发票，发票上注明的价款为3000元，增值税税额为270元。材料验收入库，银行汇票多余款项通过银行退回并已收妥。<br>（2）10日，收到乙公司作为资本投入的M材料3000千克，并验收入库，同时收到乙公司开具的增值税专用发票。投资合同约定该批材料不含税价格为600000元，与公允价值相同，允许抵扣的增值税进项税额为78000元，乙公司在甲公司注册资本中享有的份额为580000元。<br>（3）31日，发料凭证汇总表中列明M材料的耗用情况如下：生产产品领用1600千克，车间管理部门领用300千克，行政管理部门领用200千克，销售部门领用100千克。<br>（4）31日，财产清查中盘亏M材料的成本为15000元，相应转出增值税进项税额1950元，经查属于材料保管人员过失造成的，按规定由其赔偿6000元，其他损失由公司承担，款项尚未收到。<br>要求：根据上述资料，不考虑其他因素，分析回答下列小题。（答案中的金额单位用元表示，计算结果出现小数的，保留小数点后两位小数）<br>
220109003,根据期初资料以及资料（1）和（2），甲公司当月发出M材料平均单价为{{c1::}}元。,205.35<br>||210<br>||209.3<br>||204.65<br>,2,参考解析：甲公司采用月末一次加权平均法核算，月末发出M材料的平均单价＝（500×200＋203000＋600000）/（500＋800＋3000）＝210（元）。<br>,不定项选择题突破特训,甲有限责任公司（以下简称甲公司）是生产多种产品的制造企业，为增值税一般纳税人，适用的增值税税率为13%，原材料采用实际成本法核算，发出材料成本采用月末一次加权平均法计算。2020年1月1日，M材料库存数量为500千克，每千克实际成本为200元。该公司1月份发生有关存货业务如下：<br>（1）2日，以面值为250000元的银行汇票购买M材料800千克，每千克不含税的销售价格为250元，价款共计200000元，增值税专用发票上注明的增值税税额为26000元。由销货方代垫运费并取得增值税专用发票，发票上注明的价款为3000元，增值税税额为270元。材料验收入库，银行汇票多余款项通过银行退回并已收妥。<br>（2）10日，收到乙公司作为资本投入的M材料3000千克，并验收入库，同时收到乙公司开具的增值税专用发票。投资合同约定该批材料不含税价格为600000元，与公允价值相同，允许抵扣的增值税进项税额为78000元，乙公司在甲公司注册资本中享有的份额为580000元。<br>（3）31日，发料凭证汇总表中列明M材料的耗用情况如下：生产产品领用1600千克，车间管理部门领用300千克，行政管理部门领用200千克，销售部门领用100千克。<br>（4）31日，财产清查中盘亏M材料的成本为15000元，相应转出增值税进项税额1950元，经查属于材料保管人员过失造成的，按规定由其赔偿6000元，其他损失由公司承担，款项尚未收到。<br>要求：根据上述资料，不考虑其他因素，分析回答下列小题。（答案中的金额单位用元表示，计算结果出现小数的，保留小数点后两位小数）<br>
220109004,根据资料（3），下列各项中，甲公司会计处理正确的是{{c1::}}。,车间管理部门领用的材料成本63000元记入“制造费用”科目<br>||生产产品领用的材料成本336000元记入“生产成本”科目<br>||销售部门领用的材料成本21000元记入“销售费用”科目<br>||行政管理部门领用的材料成本42000元记入“管理费用”科目<br>,1||2||3||4,参考解析：31日，发出材料时：<br>借：生产成本（1600×210）336000<br>制造费用（300×210）63000<br>管理费用（200×210）42000<br>销售费用（100×210）21000<br>贷：原材料（2200×210）462000<br>,不定项选择题突破特训,甲有限责任公司（以下简称甲公司）是生产多种产品的制造企业，为增值税一般纳税人，适用的增值税税率为13%，原材料采用实际成本法核算，发出材料成本采用月末一次加权平均法计算。2020年1月1日，M材料库存数量为500千克，每千克实际成本为200元。该公司1月份发生有关存货业务如下：<br>（1）2日，以面值为250000元的银行汇票购买M材料800千克，每千克不含税的销售价格为250元，价款共计200000元，增值税专用发票上注明的增值税税额为26000元。由销货方代垫运费并取得增值税专用发票，发票上注明的价款为3000元，增值税税额为270元。材料验收入库，银行汇票多余款项通过银行退回并已收妥。<br>（2）10日，收到乙公司作为资本投入的M材料3000千克，并验收入库，同时收到乙公司开具的增值税专用发票。投资合同约定该批材料不含税价格为600000元，与公允价值相同，允许抵扣的增值税进项税额为78000元，乙公司在甲公司注册资本中享有的份额为580000元。<br>（3）31日，发料凭证汇总表中列明M材料的耗用情况如下：生产产品领用1600千克，车间管理部门领用300千克，行政管理部门领用200千克，销售部门领用100千克。<br>（4）31日，财产清查中盘亏M材料的成本为15000元，相应转出增值税进项税额1950元，经查属于材料保管人员过失造成的，按规定由其赔偿6000元，其他损失由公司承担，款项尚未收到。<br>要求：根据上述资料，不考虑其他因素，分析回答下列小题。（答案中的金额单位用元表示，计算结果出现小数的，保留小数点后两位小数）<br>
220109005,根据资料（4），下列各项中，甲公司会计处理正确的是{{c1::}}。,应收账款增加6000元<br>||原材料减少15000元<br>||其他应收款增加6000元<br>||管理费用增加15000元<br>,2||3,参考解析：31日，盘亏M材料时：<br>借：待处理财产损溢16950<br>贷：原材料15000<br>应交税费——应交增值税（进项税额转出）1950<br>报经批准处理后：<br>借：管理费用10950<br>其他应收款6000<br>贷：待处理财产损溢16950<br>,不定项选择题突破特训,甲有限责任公司（以下简称甲公司）是生产多种产品的制造企业，为增值税一般纳税人，适用的增值税税率为13%，原材料采用实际成本法核算，发出材料成本采用月末一次加权平均法计算。2020年1月1日，M材料库存数量为500千克，每千克实际成本为200元。该公司1月份发生有关存货业务如下：<br>（1）2日，以面值为250000元的银行汇票购买M材料800千克，每千克不含税的销售价格为250元，价款共计200000元，增值税专用发票上注明的增值税税额为26000元。由销货方代垫运费并取得增值税专用发票，发票上注明的价款为3000元，增值税税额为270元。材料验收入库，银行汇票多余款项通过银行退回并已收妥。<br>（2）10日，收到乙公司作为资本投入的M材料3000千克，并验收入库，同时收到乙公司开具的增值税专用发票。投资合同约定该批材料不含税价格为600000元，与公允价值相同，允许抵扣的增值税进项税额为78000元，乙公司在甲公司注册资本中享有的份额为580000元。<br>（3）31日，发料凭证汇总表中列明M材料的耗用情况如下：生产产品领用1600千克，车间管理部门领用300千克，行政管理部门领用200千克，销售部门领用100千克。<br>（4）31日，财产清查中盘亏M材料的成本为15000元，相应转出增值税进项税额1950元，经查属于材料保管人员过失造成的，按规定由其赔偿6000元，其他损失由公司承担，款项尚未收到。<br>要求：根据上述资料，不考虑其他因素，分析回答下列小题。（答案中的金额单位用元表示，计算结果出现小数的，保留小数点后两位小数）<br>
220109006,根据资料（1），下列各项中，甲公司取得乙公司股票的会计处理正确的是{{c1::}}。,借：交易性金融资产——成本2400000<br>投资收益6360<br>贷：其他货币资金——存出投资款2406360<br>||借：交易性金融资产——成本2400000<br>应交税费——应交增值税（进项税额）360<br>投资收益6000<br>贷：其他货币资金——存出投资款2406360<br>||借：交易性金融资产——成本2406000<br>应交税费——应交增值税（进项税额）360<br>贷：其他货币资金——存出投资款2406360<br>||借：交易性金融资产——成本2406360<br>贷：其他货币资金——存出投资款2406360<br>,2,参考解析：资料（1）会计分录：<br>借：交易性金融资产——成本（12×200000）2400000<br>投资收益6000<br>应交税费——应交增值税（进项税额）360<br>贷：其他货币资金2406360<br>,不定项选择题突破特训,甲公司为增值税一般纳税人。2020年发生有关交易性金融资产的交易或事项如下：<br>（1）4月15日，甲公司以每股12元的价格从证券交易所购入乙公司股票200000股，支付交易费用6000元，取得增值税专用发票上注明的增值税税额为360元。甲公司将其划分为交易性金融资产核算。<br>（2）5月6日，乙公司宣告发放每股0.09元的现金股利。5月22日，甲公司实际收到乙公司发放的现金股利18000元，存入投资款专户。<br>（3）6月30日，乙公司股票的公允价值为每股9元。<br>（4）12月18日将其持有的乙公司股票200000股全部出售，实际收到价款2500000元。转让该金融商品应交增值税为5660.38元。<br>要求：根据上述资料，不考虑其他因素，分析回答下列小题。<br>
220109007,根据资料（2），下列各项中，甲公司实际收到现金股利的会计处理正确的是{{c1::}}。,借记“投资收益”科目1800元<br>||贷记“应收股利”科目18000元<br>||贷记“交易性金融资产——成本”科目18000元<br>||借记“其他货币资金——存出投资款”科目18000元<br>,2||4,参考解析：资料（2）会计分录：<br>宣告时：<br>借：应收股利（0.09×200000）18000<br>贷：投资收益18000<br>实际收到时：<br>借：其他货币资金——存出投资款18000<br>贷：应收股利18000<br>,不定项选择题突破特训,甲公司为增值税一般纳税人。2020年发生有关交易性金融资产的交易或事项如下：<br>（1）4月15日，甲公司以每股12元的价格从证券交易所购入乙公司股票200000股，支付交易费用6000元，取得增值税专用发票上注明的增值税税额为360元。甲公司将其划分为交易性金融资产核算。<br>（2）5月6日，乙公司宣告发放每股0.09元的现金股利。5月22日，甲公司实际收到乙公司发放的现金股利18000元，存入投资款专户。<br>（3）6月30日，乙公司股票的公允价值为每股9元。<br>（4）12月18日将其持有的乙公司股票200000股全部出售，实际收到价款2500000元。转让该金融商品应交增值税为5660.38元。<br>要求：根据上述资料，不考虑其他因素，分析回答下列小题。<br>
220109008,根据资料（1）至（3），下列各项中，6月30日乙公司股票公允价值变动的会计处理正确的是{{c1::}}。,贷记“交易性金融资产——成本”科目606000元<br>||贷记“交易性金融资产——公允价值变动”科目600000元<br>||借记“投资收益”科目606000元<br>||借记“公允价值变动损益”科目600000元<br>,2||4,参考解析：资料（3）会计分录：<br>借：公允价值变动损益［（12－9）×200000］600000<br>贷：交易性金融资产——公允价值变动600000<br>,不定项选择题突破特训,甲公司为增值税一般纳税人。2020年发生有关交易性金融资产的交易或事项如下：<br>（1）4月15日，甲公司以每股12元的价格从证券交易所购入乙公司股票200000股，支付交易费用6000元，取得增值税专用发票上注明的增值税税额为360元。甲公司将其划分为交易性金融资产核算。<br>（2）5月6日，乙公司宣告发放每股0.09元的现金股利。5月22日，甲公司实际收到乙公司发放的现金股利18000元，存入投资款专户。<br>（3）6月30日，乙公司股票的公允价值为每股9元。<br>（4）12月18日将其持有的乙公司股票200000股全部出售，实际收到价款2500000元。转让该金融商品应交增值税为5660.38元。<br>要求：根据上述资料，不考虑其他因素，分析回答下列小题。<br>
220109009,根据资料（1）至（4），下列各项中，甲公司出售股票相关会计处理正确的是{{c1::}}。,出售交易性金融资产：<br>借：其他货币资金——存出投资款2500000<br>交易性金融资产——公允价值变动600000<br>贷：交易性金融资产——成本2400000<br>投资收益700000<br>||出售交易性金融资产：<br>借：其他货币资金——存出投资款2500000<br>贷：交易性金融资产——成本1800000<br>投资收益700000<br>||转让交易性金融资产应交增值税：<br>借：投资收益5660.38<br>贷：应交税费——转让金融商品应交增值税5660.38<br>||转让交易性金融资产应交增值税：<br>借：应交税费——转让金融商品应交增值税5660.38<br>贷：投资收益5660.38<br>,1||3,参考解析：资料（4）会计分录：<br>借：其他货币资金2500000<br>交易性金融资产——公允价值变动600000<br>贷：交易性金融资产——成本2400000<br>投资收益700000<br>借：投资收益5660.38<br>贷：应交税费——转让金融商品应交增值税5660.38<br>,不定项选择题突破特训,甲公司为增值税一般纳税人。2020年发生有关交易性金融资产的交易或事项如下：<br>（1）4月15日，甲公司以每股12元的价格从证券交易所购入乙公司股票200000股，支付交易费用6000元，取得增值税专用发票上注明的增值税税额为360元。甲公司将其划分为交易性金融资产核算。<br>（2）5月6日，乙公司宣告发放每股0.09元的现金股利。5月22日，甲公司实际收到乙公司发放的现金股利18000元，存入投资款专户。<br>（3）6月30日，乙公司股票的公允价值为每股9元。<br>（4）12月18日将其持有的乙公司股票200000股全部出售，实际收到价款2500000元。转让该金融商品应交增值税为5660.38元。<br>要求：根据上述资料，不考虑其他因素，分析回答下列小题。<br>
220109010,根据资料（1）至（4），甲公司从取得到出售乙公司股票对甲公司2020年度利润表“投资收益”项目本期金额的影响金额是{{c1::}}元。,700020.38<br>||688339.62<br>||699660.38<br>||706339.62<br>,4,参考解析：－6000（资料1）＋18000（资料2）＋700000（资料4）－5660.38（资料4）＝706339.62（元）。<br>,不定项选择题突破特训,甲公司为增值税一般纳税人。2020年发生有关交易性金融资产的交易或事项如下：<br>（1）4月15日，甲公司以每股12元的价格从证券交易所购入乙公司股票200000股，支付交易费用6000元，取得增值税专用发票上注明的增值税税额为360元。甲公司将其划分为交易性金融资产核算。<br>（2）5月6日，乙公司宣告发放每股0.09元的现金股利。5月22日，甲公司实际收到乙公司发放的现金股利18000元，存入投资款专户。<br>（3）6月30日，乙公司股票的公允价值为每股9元。<br>（4）12月18日将其持有的乙公司股票200000股全部出售，实际收到价款2500000元。转让该金融商品应交增值税为5660.38元。<br>要求：根据上述资料，不考虑其他因素，分析回答下列小题。<br>
